cve_mun,num_dispositivos
039,187523
004,170089
007,163405
005,155363
006,121895
002,119038
001,116831
020,106151
033,99689
037,98595
014,96472
003,88966
030,85791
017,85159
114,83912
010,81286
012,72249
120,70530
013,69686
015,68528
019,67897
008,67806
035,63094
058,62809
011,62190
031,60819
028,60223
018,57745
032,55864
050,53938
101,51030
057,49633
053,48045
048,46399
016,45626
106,43647
009,42642
026,42548
025,40955
041,38490
021,38277
097,37939
027,37131
104,35252
098,34129
022,33434
029,32881
038,30586
046,29732
067,28550
121,26059
193,25478
109,25099
087,23733
081,23496
051,22529
108,20698
070,20672
044,19510
042,18446
024,18249
122,17668
043,17165
102,16629
054,16385
023,15901
055,14124
060,13448
045,13027
052,12892
076,12499
118,12300
099,11385
089,11346
034,11033
156,10979
069,10728
056,10695
059,10301
040,10081
083,9870
119,9471
077,9228
093,9121
063,9106
085,9024
036,9019
066,8890
124,8736
073,7913
074,7663
065,7194
082,7170
088,7159
061,7133
071,6996
079,6907
075,6742
049,6648
189,6558
078,6405
131,6243
068,5902
047,5887
091,5652
110,5546
174,5496
105,5330
132,5265
140,5162
100,5129
062,5088
112,4757
084,4553
092,4496
096,4491
090,4456
095,4217
184,4134
115,4076
094,4039
107,3834
064,3787
086,3741
123,3624
208,2938
385,2892
103,2540
141,2494
072,2486
164,2469
175,2339
080,2291
113,2264
111,2239
197,2207
154,2053
207,2021
125,1937
390,1868
160,1863
413,1851
116,1832
128,1783
183,1764
117,1699
138,1584
143,1581
134,1552
133,1545
180,1443
181,1404
177,1399
318,1387
186,1319
157,1316
206,1226
399,1223
126,1204
551,1190
142,1172
401,1163
482,1150
144,1140
211,1116
155,1111
161,1109
191,1097
515,1075
205,1059
204,1017
565,1001
188,994
198,930
386,926
397,924
166,923
149,899
324,891
169,885
136,842
210,841
173,837
545,827
194,797
201,790
469,777
364,767
199,761
148,722
179,707
182,699
439,696
334,694
178,688
150,679
158,671
172,645
130,622
192,612
190,595
145,590
153,565
129,541
163,534
350,527
209,525
185,510
214,504
227,503
196,486
447,479
147,478
293,456
202,454
151,437
162,429
170,428
165,412
406,399
526,394
200,394
466,386
212,382
135,371
278,358
570,356
295,352
280,347
323,346
500,342
171,339
139,338
338,329
187,327
377,324
360,316
398,312
483,311
203,310
272,307
418,307
517,304
559,304
375,296
137,296
217,293
176,293
152,290
168,282
409,280
277,277
325,277
533,276
127,270
553,266
159,250
294,245
557,244
459,242
167,234
254,232
195,230
513,224
232,213
467,209
478,200
417,197
310,195
433,192
327,190
530,186
490,183
525,182
539,181
339,181
248,180
347,178
505,175
460,174
252,172
449,166
403,165
498,159
279,156
213,154
567,151
219,146
336,145
441,144
427,140
554,138
307,136
298,134
549,134
437,133
426,132
244,131
421,129
546,128
540,126
543,126
531,125
560,124
475,122
414,121
450,121
342,119
333,115
261,115
423,114
348,109
312,106
384,104
468,103
392,103
146,102
446,102
266,98
317,95
291,92
351,90
424,89
462,87
474,86
301,86
472,86
337,86
273,84
555,84
243,83
431,83
305,82
269,79
550,79
537,79
519,78
330,77
509,77
326,76
566,76
477,72
428,70
237,69
496,68
520,68
286,67
369,66
265,65
394,65
489,64
303,63
356,63
499,62
481,61
297,60
457,60
461,60
508,58
260,58
494,58
320,58
309,57
240,57
502,56
247,56
387,55
470,55
302,54
516,53
300,53
249,52
486,52
275,51
345,50
407,50
314,50
415,49
491,49
492,48
242,48
379,46
391,46
365,45
382,45
562,44
389,43
251,42
393,42
344,42
363,42
349,41
229,41
484,40
558,40
358,40
396,39
235,38
225,36
346,35
306,35
452,35
378,34
308,34
454,34
497,34
434,33
353,33
264,33
215,32
255,32
504,31
563,31
438,30
455,30
226,29
331,29
380,28
368,27
381,27
535,27
259,26
402,26
263,25
532,24
299,24
221,24
405,23
522,23
367,23
456,23
271,22
352,22
435,22
343,21
231,21
366,21
410,20
507,19
523,19
285,19
220,18
362,18
234,17
527,17
268,17
274,17
400,17
544,16
216,16
442,15
568,15
548,15
419,15
534,15
328,14
315,14
270,14
371,14
473,14
511,14
319,14
463,13
253,13
238,13
258,13
561,13
404,12
541,12
429,12
528,12
250,12
485,11
228,11
453,11
524,11
420,10
448,10
222,10
440,10
316,9
296,9
262,9
335,9
233,9
284,8
236,8
372,8
321,7
412,7
408,7
283,7
313,7
445,7
547,7
493,7
476,7
506,6
340,6
329,6
510,6
292,6
495,6
503,6
501,6
432,6
245,5
241,5
223,5
425,4
311,4
290,4
374,4
458,4
480,4
569,4
487,3
411,3
542,3
383,3
370,3
512,3
246,3
416,3
443,3
465,3
289,3
357,3
471,2
361,2
239,2
422,2
376,2
444,2
224,2
354,2
230,2
341,2
464,2
218,2
256,1
395,1
552,1
257,1
556,1
355,1
388,1
276,1
267,1
282,1
436,1
359,1
281,1
538,1
529,1
332,1
